bootstrap,mae,rmse,r2,pearson,spearman,nlpd_observed
0,44.74650137074947,57.539168175197304,0.6915419856125669,0.8322541116732428,0.8118784223087542,6.308353890603616
1,46.57227346067326,58.51688045810658,0.6796893047761378,0.8258288385934357,0.8145658263305323,6.306876152723789
2,44.591082346266795,57.56781187443608,0.6959706987016174,0.8349575327288387,0.8112044817927172,6.31382580352476
3,44.64435561147525,57.820644600939715,0.6892625505426507,0.8314333753737839,0.8015967524384815,6.307143253350436
4,46.67837613135751,57.90244677757983,0.6816440331895661,0.8263710071116217,0.819302431346429,6.302848343875057
5,44.59657022256334,55.67087239952105,0.7035546883176974,0.8393752563492413,0.820365573830541,6.293107222878492
6,45.52653700893222,58.0694450895818,0.6803464253190998,0.8255167555751188,0.8159663865546218,6.3005612494264085
7,44.53975252833855,57.35598481589463,0.6927504180691373,0.8329271634153185,0.8100840336134455,6.305793155738958
8,44.963689481724636,57.85863023323318,0.687798151031409,0.8301095419564828,0.8219062979746655,6.3092445629912985
9,42.637758846101995,54.29774439721258,0.73117469263115,0.8555879852507985,0.8424959751734171,6.312584719138292
10,43.86925071664122,56.9552320547491,0.6894368067476849,0.8311422066666737,0.7943133292117123,6.292956706604769
11,43.86013096122835,57.187727647252665,0.691766337464307,0.832755834066131,0.8132791787309569,6.300648550884839
12,44.95238112526127,58.525972189306444,0.6890606093527964,0.8309825403155506,0.8125218872786357,6.320597458464683
13,45.06190849897556,57.099141891411996,0.7011262818429195,0.8377736562864607,0.8332516303086716,6.316201218390159
14,42.854055099017884,56.07089882430702,0.7056959053257117,0.8403879179249935,0.8322711694896833,6.302978630881414
15,42.5569413947306,57.161147737041155,0.6984490515502932,0.8363265785664589,0.8174241913735766,6.30948992928474
16,45.34442392923402,57.32391658644849,0.6895962633770176,0.8310734404378225,0.8077596490149788,6.301133105702674
17,42.072754531733686,55.968729543575314,0.7075884353550604,0.8412992066811242,0.8301701820204229,6.304942065876634
18,45.02330826339107,58.6948170512684,0.6771613534181231,0.8238785143626006,0.7891861682690684,6.305139475873628
19,43.28855797638361,56.21237383908507,0.7016011999522241,0.8380397849232906,0.8172841255422926,6.298153231069042
20,44.98373502752798,57.77573638336192,0.691838937822513,0.8324043139149213,0.8192450471802689,6.3120059399997075
21,44.62281113242427,56.01475507065605,0.70377287300863,0.8393139893147644,0.8223840954752752,6.301993977152841
22,48.8322608710238,59.350945754981666,0.6705200606556753,0.820483252375227,0.8133622822663398,6.311752987159188
23,46.62525206592132,59.35797026730838,0.6681741405691528,0.8185795854877004,0.7980109337289462,6.305898930425614
24,42.607778460853204,57.192205953941894,0.6999089846083812,0.8368990706987054,0.8246498599439777,6.312379609649465
25,46.22283464385134,58.66872944869272,0.6757771568525741,0.8230646815290281,0.8070593198585586,6.3050394072545295
26,41.53506958217652,55.46555059285502,0.7122438884217304,0.8440958927882526,0.8359714327706427,6.302544711135407
27,44.24867890384364,55.62037360881611,0.7095105208984003,0.8429166418632673,0.8189649155177009,6.302506982857487
28,42.30542047753548,55.845671499313994,0.7113202224720583,0.8436285117395923,0.8300301161891389,6.307211557112084
29,43.22653990829729,55.97067066466433,0.7072481373606807,0.8414241727506379,0.8324112353209673,6.304321119554203
30,44.09457408540822,58.305700273831796,0.6755373919101917,0.8230108928782103,0.7918476054712538,6.297067927821138
31,46.579134653476395,56.848617066337454,0.6970232571417677,0.835776991414311,0.8107010314719433,6.305906434464572
32,46.58749770761931,59.42749246175032,0.6716190728382028,0.8208333190248572,0.7912318809234637,6.310254076549896
33,43.89915630769417,57.43322234558003,0.6992015268223257,0.8365041269580977,0.8257703081232494,6.31656019340411
34,42.58642757920605,57.99559531554082,0.694581532863342,0.834064395078889,0.8238095238095239,6.317905014791824
35,43.82286937544494,56.579638533687636,0.7016653808687296,0.8380192535138629,0.8224089635854342,6.305216543944222
36,45.4216715650017,56.661957917379894,0.6946521922553659,0.8339462854830982,0.8111780440976526,6.300001228351933
37,44.882474289360495,57.31064649083185,0.6971487615737136,0.8356254281715813,0.8175642572048607,6.311942190792678
38,43.77234062300808,56.67339403589336,0.7039497320446825,0.8396270935342472,0.8266106442577031,6.311034614002512
39,43.590425438960544,55.85334603353476,0.7111613098997782,0.8442586914972365,0.8329714986461034,6.306502940961443
40,45.38536288991635,58.30727003117926,0.6863368780909844,0.8297389024248552,0.8182072829131654,6.312462264629457
41,43.14260417200135,55.434119485645006,0.7180551225733994,0.8481738907001111,0.8322711694896833,6.310458310207295
42,44.25520633375667,55.93409820665444,0.7107796943785256,0.8435853033149558,0.841154231532793,6.309806942264103
43,48.21234420268812,59.582157760748196,0.6655977564455722,0.8173311404791987,0.8105609656406593,6.306751541117804
44,43.69262429731796,56.214170020546874,0.7112967596357882,0.8443662982039726,0.8475383450996421,6.313277217259592
45,44.819849666097774,57.67197299009612,0.6938590118022276,0.8336705919831192,0.8236447762552578,6.313396857445987
46,42.92296566087266,56.53835524831239,0.7066651720154873,0.8408070926385418,0.8240650031819187,6.314138406684186
47,47.01115671024075,58.783646028508194,0.6802270319750665,0.8258178779663257,0.8188822044197682,6.313356024230813
48,46.0137288559955,59.40562962723011,0.6809566494076008,0.8259450508023726,0.8170868347338937,6.322634131711384
49,46.9028140673164,60.0714321514868,0.6746925221570906,0.8227670089031414,0.8070028011204482,6.324228378439895
50,46.38633355330954,58.62790969536674,0.6855357289342727,0.8292117599896723,0.8019607843137255,6.3166578111467535
51,45.20573065096957,56.480188518811694,0.6942609807709132,0.8338234035765578,0.8104776658865513,6.294798913861365
52,44.9674245864751,56.80927255026808,0.6989889209529664,0.8371623287844185,0.807843137254902,6.305733020073519
53,42.97261102349419,54.24488097943233,0.7214833495756147,0.849878455912881,0.8166409941442436,6.296610011353233
54,43.948639443416006,56.36841185478905,0.6951297925106201,0.834670568781194,0.7988795518207282,6.2915560988362955
55,44.22749859382974,58.03780891660997,0.6933435916198004,0.833187891547362,0.8219062979746655,6.3183538808830715
56,44.12316271579092,57.64056990625347,0.68877809647017,0.8307531300032612,0.8059952453355022,6.303711503267905
57,41.873021348635795,55.58272654803585,0.7098107554623256,0.8426876865131667,0.8401148560415889,6.3005703779541555
58,43.2638847691532,55.71106437979176,0.7072896904399182,0.8416539817589355,0.8120184979509745,6.298926684412613
59,44.25841716864007,56.94938203835435,0.7003919109234713,0.8375439181745692,0.8240072854439259,6.310176228705504
60,42.65778181345297,56.53634349230804,0.6899825914894427,0.8312397036430521,0.8056586615457185,6.287211073326308
61,46.92953381442203,58.28082897775745,0.692111049864536,0.8331006222243232,0.807843137254902,6.320112645467459
62,43.85840234738384,54.80876516941165,0.7100943971293521,0.8433227669754675,0.8154061624649859,6.289332102125983
63,45.43774473791205,56.1785439392279,0.6943619570983699,0.8339342795943531,0.8294117647058825,6.289868038574969
64,43.64661596743317,58.06476673854796,0.687094783678073,0.8296774929769336,0.8180990584757651,6.308119744114308
65,43.78733840860279,56.897506426752386,0.7001997903292263,0.8375378681659968,0.8102808339780913,6.308304435845415
66,45.40452137757617,59.16466784434079,0.6766927297469505,0.823445999563803,0.8046782007267301,6.313821802187941
67,43.1930921866094,55.97306469205576,0.7106704449526741,0.8438779456083921,0.8279871211640865,6.308590805865174
68,46.32194816611272,59.55810599722136,0.677529304261024,0.82509239710478,0.792632539236304,6.318756596855052
69,45.91382583291523,58.05680050585506,0.6901568231674567,0.8315100210693597,0.824427482937778,6.314450138300035
70,45.45291601839765,58.772130599564925,0.6833624897123681,0.8276681301712218,0.8218487394957985,6.316031235577948
71,48.214863110796415,60.292755163753014,0.6617368122184353,0.8150675365596058,0.7882904984664991,6.312507699330272
72,44.13667635470811,57.06167633841951,0.6975850999651352,0.8357493558211031,0.8231668904562217,6.308487061175783
73,43.24699525003208,55.2521128382941,0.711064893926143,0.8436093972761781,0.8209258371556771,6.296233625659101
74,46.51201662802767,61.08190324146983,0.6585626836549769,0.8129997899765374,0.7901113542731915,6.319010792537658
75,45.57888061832145,55.89593568216777,0.7080646188331723,0.8422850057160824,0.8156862745098039,6.305457402827275
76,45.40299279301542,58.08208746800373,0.6897111660730586,0.8314721135350642,0.7976749091625289,6.312750727957186
77,43.38352539111565,56.504655847517014,0.6982081801607835,0.8358535990400024,0.8277310924369748,6.300480996946995
78,44.44703025680425,58.27830849361286,0.6935380695946862,0.8335567228368509,0.8098606364842391,6.321728951243245
79,47.95839030351708,59.382494997982974,0.6678965443741727,0.8184605057452392,0.8282913165266107,6.307628932097097
80,46.07469772194824,59.22480544185675,0.6734201164339958,0.8213065043890746,0.8088801756652509,6.3104551336833365
81,44.49343935299745,55.834535963106134,0.7052767334272834,0.8404455635954832,0.8121016897847836,6.298499841965626
82,43.12818367518566,55.1327619777599,0.7263286890554612,0.8525486005737141,0.8403949877041569,6.318892415914678
83,43.95810514325237,57.46733364471515,0.6896902830158106,0.8310427655846977,0.8265284704070383,6.303973825222945
84,45.311002294695626,57.336918303665726,0.6904089773391074,0.8318194219263846,0.7998319170778098,6.303018686999484
85,48.32320574578667,59.783408871365616,0.6590187176459261,0.814207223377734,0.7913719467547478,6.302582268580187
86,44.092263546541254,56.0668905786836,0.7126544403725132,0.8451197740357601,0.8315708403332632,6.3125590824615125
87,46.77242163769868,57.46320154236735,0.692021936649663,0.8327313428392266,0.8249054570352403,6.308633789232325
88,41.35517150845696,53.4160553779445,0.7331888751039802,0.8563615249687617,0.8426360410047014,6.3000545439920135
89,45.226167174238334,58.566647321279916,0.6936812789082304,0.8339939103341749,0.8174814479975654,6.3265935509040405
90,48.35108286348479,60.84418255495874,0.6580105364830431,0.8127021778696114,0.7770852319637771,6.316843815112644
91,43.352735103692005,57.23433466524009,0.700084612124521,0.8372070034910429,0.8261082729131861,6.314706588506665
92,45.86756429733225,56.891022334897926,0.6956712137695835,0.8349580669024707,0.8224089635854342,6.302709294430144
93,45.8860863511964,58.21310488283857,0.6758769348354452,0.8230839509707477,0.8045381348954461,6.298616878818071
94,44.15123673900297,56.700475317534845,0.6921770704046157,0.8325158059543211,0.8043980690641621,6.294450771399117
95,45.7958225752289,59.189820724039684,0.6722944600123197,0.8211540109298981,0.8112044817927172,6.308785806265446
96,47.190436599651285,58.812746716123456,0.6734882888048854,0.8219479574593188,0.8044817927170869,6.304010154782789
97,48.57051211909863,60.94374568223295,0.6639110452571737,0.8162528894541846,0.8094404389903871,6.326732526867765
98,43.19447165484459,57.68483215268513,0.6888945692928445,0.8305902736165262,0.8147629405791801,6.304977934315193
99,44.63625971752932,56.05027458294182,0.7108362054844358,0.8437587191173508,0.8111212289657953,6.310033176512055
