model,mae,rmse,r2,pearson,spearman,nlpd_observed
epistatic,49.90114963162614,59.95209842424787,0.6647799310132567,0.815579157616243,0.8144828089166121,6.304780233024993
additive,61.809358675873604,73.90621712599832,0.4905715670185028,0.7005897257711833,0.7277820593517997,5.858437265984866
