mutation_order,n,mae,median_abs_error,mean_predicted_std
0,1,22.454658666008285,22.454658666008285,68.52590581016969
1,13,35.67252420554497,28.13316658803842,244.02027409861253
2,9,60.4149773112721,61.15761675718778,239.97196288573898
3,6,59.88837783675475,51.75673446885001,180.3352857964404
4,6,59.54628349114076,53.050036932049736,209.90149052552465
