source,component,lengthscale_multiplier,reference_distance_scale,resolved_lengthscale,n_finite_offdiagonal_pairs,n_identical_pairs,fraction_identical_pairs,n_nonidentical_pairs,kernel_q05_nonidentical,kernel_q25_nonidentical,kernel_median_nonidentical,kernel_q75_nonidentical,kernel_q95_nonidentical,fraction_nonidentical_kernel_lt_1e-3,fraction_nonidentical_kernel_lt_0p01,fraction_nonidentical_kernel_gt_0p9
vhse,304,0.5,3.4635213583036415,1.7317606791518207,595,130,0.2184873949579832,465,0.007208134532443236,0.01800931820557996,0.03539518126173862,0.27849392867125755,0.49612559110438564,0.0,0.060215053763440864,0.002150537634408602
vhse,304,1.0,3.4635213583036415,3.4635213583036415,595,130,0.2184873949579832,465,0.29137730420100894,0.3663315452682899,0.4337465517257779,0.7264469972076106,0.8392626719420759,0.0,0.0,0.010752688172043012
vhse,304,2.0,3.4635213583036415,6.927042716607283,595,130,0.2184873949579832,465,0.7347065814338568,0.7779802633586009,0.81153827741936,0.9232110272107856,0.9571378193601391,0.0,0.0,0.27956989247311825
vhse,330,0.5,3.4635213583036415,1.7317606791518207,595,25,0.04201680672268908,570,0.004150848952234008,0.004150848952234008,0.23165363123260904,0.9999999999999994,0.9999999999999994,0.0,0.25263157894736843,0.4842105263157895
vhse,330,1.0,3.4635213583036415,3.4635213583036415,595,25,0.04201680672268908,570,0.2538249050899205,0.2538249050899205,0.6937608336770843,0.9999999999999999,0.9999999999999999,0.0,0.0,0.4842105263157895
vhse,330,2.0,3.4635213583036415,6.927042716607283,595,25,0.04201680672268908,570,0.7097960172106386,0.7097960172106386,0.9126461887726743,1.0,1.0,0.0,0.0,0.5368421052631579
z_scales,99,0.5,3.05129229668588,1.52564614834294,595,223,0.37478991596638656,372,0.018160696633598296,0.019691347334008902,0.041040937229650264,0.13533528323661267,0.13533528323661267,0.0,0.0,0.0
z_scales,99,1.0,3.05129229668588,3.05129229668588,595,223,0.37478991596638656,372,0.36709893616901634,0.37460093598987937,0.45009513369503473,0.6065306597126334,0.6065306597126334,0.0,0.0,0.0
z_scales,99,2.0,3.05129229668588,6.10258459337176,595,223,0.37478991596638656,372,0.7783873717349844,0.7823340172611376,0.8190795431289671,0.8824969025845953,0.8824969025845953,0.0,0.0,0.043010752688172046
z_scales,134,0.5,3.05129229668588,1.52564614834294,595,210,0.35294117647058826,385,0.37947056702307186,0.379470567023072,0.379470567023072,0.379470567023072,0.9999999999999999,0.0,0.0,0.23636363636363636
