interval,nominal_coverage,nominal_z,uncalibrated_coverage,calibrated_coverage
50%,0.5,0.67448975,0.5714285714285714,0.6
68%,0.68,1.0,0.6571428571428571,0.7142857142857143
90%,0.9,1.64485363,0.8285714285714286,0.8285714285714286
95%,0.95,1.95996398,0.8857142857142857,0.9142857142857143
