draw_index,seed,mean_predicted_activity,min_predicted_activity,jaccard_to_primary_panel,mean_kernel_similarity,log_determinant,isometry_score
0,20360823,281.9668612233504,259.01843056704126,0.4166666666666667,0.4024248315118331,-14.662704662280465,0.42210041671252535
1,20360824,280.57170147493605,259.01843056704126,0.4166666666666667,0.402330883388359,-15.065766015605512,0.41221033818645003
2,20360825,281.42485816392474,257.57925586552295,0.7,0.3779528597261668,-13.824506044532837,0.4434340295449173
3,20360826,279.6572571258171,257.57925586552295,0.6190476190476191,0.4048189403458983,-15.62380192893766,0.39889894203097487
4,20360827,280.2079865257142,257.57925586552295,0.6190476190476191,0.40269109730810554,-14.713348458398826,0.42084483095693226
5,20360828,282.3138335486722,257.57925586552295,0.4782608695652174,0.4179287574246062,-16.23502966400731,0.38481147307884267
6,20360829,279.9158928670133,257.57925586552295,0.6190476190476191,0.4137398054122189,-15.878759300381201,0.39296109586287614
7,20360830,281.0656084309011,257.57925586552295,0.7,0.39849430004571523,-15.822899360501104,0.39425444212933286
8,20360831,282.33178903311455,257.57925586552295,0.6190476190476191,0.39069017781071813,-15.099107681966373,0.41140267285050997
9,20360832,279.1068750771724,257.57925586552295,0.6190476190476191,0.39862224879483543,-14.426767763794269,0.42799943740724794
10,20360833,280.77565377110733,259.01843056704126,0.4782608695652174,0.4124877796232276,-15.904640219087351,0.39236330430308125
11,20360834,282.23515869829635,259.01843056704126,0.5454545454545454,0.42995010548052404,-17.135938118823702,0.3649494748934169
12,20360835,283.7237848515605,257.57925586552295,0.5454545454545454,0.41897136641532395,-15.35296622162705,0.4053048981823005
13,20360836,280.27047349798244,257.57925586552295,0.5454545454545454,0.41000365908586395,-16.071103698579225,0.3885400440132724
14,20360837,282.3084290688737,259.01843056704126,0.5454545454545454,0.38214104824234474,-14.773875642720029,0.4193491097864899
15,20360838,282.8252537364892,259.01843056704126,0.4166666666666667,0.3963993087229239,-13.235609051986936,0.45906418671889154
16,20360839,283.96848440157044,259.01843056704126,0.5454545454545454,0.4082173867828958,-16.895199862258607,0.37015431748358385
17,20360840,277.7013564030015,257.57925586552295,0.7894736842105263,0.3853558880495663,-13.56943571034145,0.45013753903884574
18,20360841,280.0529603634527,257.57925586552295,0.5454545454545454,0.4269574904312935,-16.770473963543022,0.3728800590917691
19,20360842,283.0672635805296,259.01843056704126,0.5454545454545454,0.39831887399152655,-15.22897453440478,0.40827184836749686
20,20360843,279.21758951012424,257.57925586552295,0.6190476190476191,0.38141854871057246,-14.262965073004983,0.432143337729899
21,20360844,281.77989437236124,259.01843056704126,0.5454545454545454,0.40841211119777626,-16.052397455754633,0.38896781605329916
22,20360845,280.9950133357487,259.01843056704126,0.5454545454545454,0.4218695395184446,-16.285047285344028,0.38368093970313716
23,20360846,279.4251545703863,257.57925586552295,0.6190476190476191,0.40887261970159483,-14.853652306477382,0.4173858215872426
24,20360847,278.6548668137802,257.57925586552295,0.4782608695652174,0.4120253581493869,-15.498850939376707,0.4018416738516774
25,20360848,284.570729388615,259.01843056704126,0.6190476190476191,0.3821969362575195,-13.63339541051724,0.44844715257816237
26,20360849,281.4274446015538,257.57925586552295,0.6190476190476191,0.4016902771296001,-14.382684910574438,0.4291107268305156
27,20360850,280.2888608282119,257.57925586552295,0.4782608695652174,0.39875835933837034,-14.51019611981864,0.42590415417575095
28,20360851,281.30488189972056,259.01843056704126,0.4782608695652174,0.39165241247084415,-13.89204164122374,0.44167590164130405
29,20360852,279.1159945983274,259.01843056704126,0.4782608695652174,0.41608263955771074,-15.565173290190012,0.40027701709460356
30,20360853,280.1524693658873,257.57925586552295,0.5454545454545454,0.44968335276848903,-18.675715561716288,0.3333469286231536
31,20360854,280.97672936125264,257.57925586552295,0.6190476190476191,0.39723591210549525,-14.502577315952506,0.42609507226080007
32,20360855,281.75891810378937,257.57925586552295,0.5454545454545454,0.39062177112491986,-13.288104623869497,0.45764879454350377
33,20360856,280.227705676806,259.01843056704126,0.5454545454545454,0.39354572906362967,-16.129850366388673,0.3871996887475029
34,20360857,281.941751236276,259.01843056704126,0.4782608695652174,0.40011815907992265,-16.371717327988147,0.3817298208921732
35,20360858,286.4137089730763,259.01843056704126,0.5454545454545454,0.3884615608757962,-14.529594533137576,0.4254184393009242
36,20360859,282.64171588168676,257.57925586552295,0.6190476190476191,0.4116875137374163,-15.571269646018385,0.400133499822027
37,20360860,281.05955129230495,261.92627444546196,0.4782608695652174,0.44547710278130304,-18.569212625011364,0.33544186207251264
38,20360861,278.638505891487,259.01843056704126,0.5454545454545454,0.3874805233882539,-14.27284932946363,0.4318921510204993
39,20360862,280.4323113296238,257.57925586552295,0.6190476190476191,0.4131492836105602,-15.81411306465539,0.394458261629281
40,20360863,277.7696400757331,257.57925586552295,0.4782608695652174,0.4189960703709194,-15.068536423820792,0.41214316772409665
41,20360864,281.48546637110206,257.57925586552295,0.6190476190476191,0.4198331011566225,-15.82844079359584,0.39412594927187794
42,20360865,284.87253894979534,259.01843056704126,0.4782608695652174,0.39563420340967326,-13.793878857805565,0.444233640018859
43,20360866,279.4598220403693,257.57925586552295,0.5454545454545454,0.41957453019900814,-15.859533921700518,0.39340574876754303
