batch,mean_kernel_similarity,log_determinant,isometry_score
conservative_k_dpp,0.2840255767145083,-1.0248587725162313,0.8429818972422208
balanced_k_dpp,0.4172609449040113,-2.5007187669459263,0.6591616615348105
complete_generated_panel,0.28342798223701693,-9.679717229108086,0.5658676109102176
